name,latitude,longitude
Pleasant Park Mira Road (Mira Bhayandar) #1,19.275416606668415,72.87713409325407
Bamandaya Pada (Andheri East) #1,19.12295837722901,72.88693081072189
Pandit Paluskar Chowk Or Marwadi School (Girgaon) #1,18.957600148320427,72.81837011656762
August Kranti Maidan (Tardeo) #1,18.96299390219195,72.81056397668648
Madh Temple #1,19.14059452972894,72.7911764254718
Fire Brigade Centre Or Kharodi Colony (Malad) #1,19.195302797513374,72.82202810375689
Raj Kumar (Andheri West) #1,19.126690383563215,72.83897606994059
Mohammed Estate Or Kapadia Nagar (Santacruz East) #1,19.073812298514554,72.87100182849552
Kala Nagar (Bandra East) #1,19.05311212265055,72.84695920953321
Wilson College (Gamdevi) #1,18.956638529710396,72.8102042828207
I I T Market (Powai) #1,19.128072109115994,72.91907408159734
Pandurang Wadi (Goregaon West) #1,19.173628962376508,72.85068284540365
Swavalamban Bhavan,19.060789216893802,72.86248859694157
Borivali Station West (Borivali West) #1,19.230246633359407,72.8566556150384
Jai Mahakali Mandir (Borivali) #1,19.241360763264865,72.86383515661917
Nana Chowk (Tardeo) #2,18.96210480390933,72.81250308407878
Mano Bina Apartment (Andheri West) #1,19.11614189950238,72.84098967886212
Hira Mongi Navneet Hospital (Mulund West) #1,19.171090642796422,72.95048842819058
Behram Baug (Andheri West) #1,19.146798583645502,72.83650069109585
Siddharaj Society (Borivali East) #1,19.234962082754855,72.87218698042628
Hutatma Chowk (Fort) #1,18.932542011280518,72.83112485537663
Patkar Compound (Bhandup West) #1,19.159361379390514,72.93092728282069
Barkat Ali Dargah (Antop Hill) #1,19.01992153825867,72.86566477269315
Hindustan Company (Vikhroli West) #1,19.121595105842275,72.92556969634727
Bharat Diamond Bourse (Bandra East) #1,19.064076132791676,72.86548128559063
Ishwarbhai Patel Road (Goregaon West) #2,19.16124346847172,72.85392943435858
Parsi General Hospital (Cumballa Hill) #1,18.968297218886395,72.80341009631252
Balkum Naka (Thane) #1,19.2213897184838,72.98975785734895
Vikas Vidyalaya (Vikhroli) #1,19.118204565024918,72.93745215736627
Amrutvan Society (Goregaon) #1,19.172088224951985,72.86476225985056
Shivaji Nagar Junction #2,19.062804766749082,72.91840625090883
Ghatkopar Station East (Ghatkopar East) #1,19.08510229450718,72.90856292381905
