bus_number,stop_sequence,stop_name
216 - Mhada Colony Bhoiwada Building No 5E to Dadar Station East Or Swami Narayan Chowk,6,Sharda Cinema (Dadar) #1
216 - Mhada Colony Bhoiwada Building No 5E to Dadar Station East Or Swami Narayan Chowk,7,Khodadad Circle Or Pritam Hotel (Dadar) #2
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,1,Dadar Station East Or Swami Narayan Chowk #2
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,2,Khodadad Circle Or Pritam Hotel (Dadar) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,3,Sharda Cinema (Dadar) #2
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,4,Dadasaheb Sarfare Chowk (Dadar) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,5,Spring Mill (Wadala) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,6,Naigaon Police Colony (Wadala) #2
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,7,Bhoiwada Or Mane Master Chowk (Wadala) #6
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,8,Tata Hospital (Parel) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,9,K E M Hospital (Parel) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,10,Mahatma Gandhi Hospital (Parel) #1
217 - Dadar Station East Or Swami Narayan Chowk to Mint Colony,11,Saibaba Road (Parel) #1
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,1,Mint Colony (Parel) #4
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,2,Saibaba Road (Parel) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,3,Mahatma Gandhi Hospital (Parel) #3
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,4,Dr Shirodkar High School
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,5,K E M Hospital (Parel) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,6,Tata Hospital (Parel) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,7,Bhoiwada Or Mane Master Chowk (Wadala) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,8,Naigaon Police Colony (Wadala) #3
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,9,Spring Mill (Wadala) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,10,Dadasaheb Sarfare Chowk (Dadar) #2
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,11,Sharda Cinema (Dadar) #1
217 - Mint Colony to Dadar Station East Or Swami Narayan Chowk,12,Khodadad Circle Or Pritam Hotel (Dadar) #2
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,1,Dadar Station East Or Swami Narayan Chowk #2
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,2,Khodadad Circle Or Pritam Hotel (Dadar) #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,3,Sharda Cinema (Dadar) #2
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,4,Dadasaheb Sarfare Chowk (Dadar) #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,5,Spring Mill (Wadala) #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,6,Naigaon Police Colony (Wadala) #2
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,7,Bhoiwada Or Mane Master Chowk (Wadala) #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,8,BEST Colony (Wadala) #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,9,TB Hospital (Parel) #3
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,10,Dyaneshwar Nagar #1
218 - Dadar Station East Or Swami Narayan Chowk to Prabodhankar Thakare Udyan Bus Depot Sewree,11,Shivaji Nagar (Sewri West) #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,1,Prabodhankar Thakare Udyan Bus Depot Sewree
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,2,Prabodhankar Thakare Udyan Bus Depot Sewree (Parel)
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,3,Busa Udhyog Bhavan
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,4,Shivaji Nagar (Sewri West) #1
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,5,Dyaneshwar Nagar #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,6,TB Hospital (Parel) #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,7,TB Hospital (Parel) #1
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,8,BEST Colony (Wadala) #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,9,Bhoiwada Or Mane Master Chowk (Wadala) #5
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,10,Naigaon Police Colony (Wadala) #3
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,11,Spring Mill (Wadala) #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,12,Dadasaheb Sarfare Chowk (Dadar) #2
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,13,Sharda Cinema (Dadar) #1
218 - Prabodhankar Thakare Udyan Bus Depot Sewree to Dadar Station East Or Swami Narayan Chowk,14,Khodadad Circle Or Pritam Hotel (Dadar) #2
222 - Bandra Bus Station West to Bandra Bus Station West,1,Pali Hill Naka
222 - Bandra Bus Station West to Bandra Bus Station West,2,Dr Ambedkar Road (Khar West) #1
222 - Bandra Bus Station West to Bandra Bus Station West,3,L I C Colony (Pali Hill) #1
222 - Bandra Bus Station West to Bandra Bus Station West,4,Bandra Talkies (Bandra West) #1
222 - Bandra Bus Station West to Bandra Bus Station West,5,Pali Market (Pali Hill) #1
222 - Bandra Bus Station West to Bandra Bus Station West,6,Bandra Talkies (Bandra West) #2
222 - Bandra Bus Station West to Bandra Bus Station West,7,Bandra Talav (Bandra West) #1
222 - Bandra Bus Station West to Bandra Bus Station West,8,Dr Ambedkar Road (Khar West) #2
222 - Bandra Bus Station West to Bandra Bus Station West,9,Pali Market (Pali Hill) #2
222 - Bandra Bus Station West to Bandra Bus Station West,10,Bandra Bus Station West (Bandra West) #1
222 - Bandra Bus Station West to Bandra Bus Station West,11,Mama Hotel
222 - Bandra Bus Station West to Bandra Bus Station West,12,Moti Mahal (Bandra West) #3
222 - Bandra Bus Station West to Bandra Bus Station West,13,Chuim Village
222 - Bandra Bus Station West to Bandra Bus Station West,14,Moti Mahal (Bandra West) #4
222 - Bandra Bus Station West to Bandra Bus Station West,15,L I C Colony (Pali Hill) #2
222 - Bandra Bus Station West to Bandra Bus Station West,16,Bandra Talav (Bandra West) #3
222 - Bandra Bus Station West to Bandra Bus Station West,17,Pali Hill Naka Or Guru Nanak Road (Bandra West) #3
222 - Bandra Bus Station West to Bandra Bus Station West,18,Petit Girls School
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,1,Magathane Depot (Borivali) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,2,Special Steel Or Rajendra Nagar (Borivali) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,3,Magathane Telecom Exchange (Kandivali East) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,4,Shree Koteshwari Mandir (Kandivali East) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,5,Rajendra Nagar (Borivali) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,6,Thakur Cinema (Kandivali East) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,7,Dattani Park (Kandivali East) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,8,Viceroy Udyan (Kandivali East) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,9,Aangan (Kandivali East) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,10,Kora Kendra (Borivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,11,Thakur College (Kandivali East) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,12,Samata Nagar Bus Station Kandivali East #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,13,Sai Baba Mandir Samata Nagar (Kandivali East) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,14,Shastri Nagar (Borivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,15,Poisar Depot (Kandivali West) #3
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,16,Goverdhan Nagar Borsapada (Kandivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,17,Kamal Vihar Sports Complex (Kandivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,18,Panchsheel Apartment (Borivali West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,19,Mahavir Nagar Extension Or Parijat Society (Kandivali) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,20,Mahavir Nagar Or Link Road
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,21,Ekta Nagar (Kandivali West) #3
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,22,Renuka Nagar (Kandivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,23,Kamraj Nagar (Kandivali West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,24,Shanti Nagar (Kandivali West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,25,Lalji Pada Police Chowki (Kandivali West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,26,Lalji Pada (Kandivali West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,27,Janta Colony Or Shiv Mandir (Kandivali West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,28,Mith Chowki Or Kavivarya V R Kant Chowk (Malad West) #3
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,29,Mith Chowki Or Kavivarya V R Kant Chowk (Malad West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,30,Evershine Nagar (Malad West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,31,Kach Pada (Malad West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,32,D Mart Shopping Centre (Malad West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,33,Malad Depot (Malad West) #3
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,34,Chinchvali Bunder Road (Malad West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,35,Vinay Industries Or Subkuch Market (Malad West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,36,Inorbit Mall (Goregaon West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,37,Bangur Nagar (Goregaon West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,38,Bangur Nagar Police Chowky Or Post Office (Goregaon West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,39,Shastri Nagar (Goregaon West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,40,Goregaon Oshiwara Depot (Goregaon West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,41,Anand Nagar (Andheri West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,42,Behram Baug (Andheri West) #3
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,43,Adarsh Nagar (Andheri West) #5
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,44,Lokhandwala Complex Junction (Andheri West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,45,Monginis Cake Company (Andheri West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,46,Laxmi Industrial Estate (Andheri West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,47,Jeevan Nagar (Andheri West) #2
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,48,Indian Oil Nagar (Andheri West) #1
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,49,Indian Oil Nagar (Andheri West) #4
223 - Samata Nagar Bus Station Kandivali East to Seven Bungalow Bus Station,50,Four Bungalow (Andheri West) #3
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,1,Seven Bungalows Bus Depot
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,2,Seven Bungalow Bus Station (Andheri West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,3,Four Bungalow (Andheri West) #4
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,4,Indian Oil Nagar (Andheri West) #5
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,5,Jeevan Nagar (Andheri West) #3
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,6,Laxmi Industrial Estate (Andheri West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,7,Monginis Cake Company (Andheri West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,8,Adarsh Nagar (Andheri West) #4
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,9,Behram Baug (Andheri West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,10,Anand Nagar (Andheri West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,11,Goregaon Oshiwara Depot (Goregaon West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,12,Shastri Nagar (Goregaon West) #5
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,13,Bangur Nagar Police Chowky Or Post Office (Goregaon West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,14,Bangur Nagar (Goregaon West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,15,Inorbit Mall (Goregaon West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,16,Vinay Industries Or Subkuch Market (Malad West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,17,Chinchvali Bunder Road (Malad West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,18,Malad Depot (Malad West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,19,D Mart Shopping Centre (Malad West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,20,Kach Pada (Malad West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,21,Evershine Nagar (Malad West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,22,Mith Chowki Or Kavivarya V R Kant Chowk (Malad West) #4
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,23,Janta Colony Or Shiv Mandir (Kandivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,24,Lalji Pada (Kandivali West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,25,Lalji Pada Police Chowki (Kandivali West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,26,Shanti Nagar (Kandivali West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,27,Kamraj Nagar (Kandivali West) #5
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,28,Renuka Nagar (Kandivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,29,Ekta Nagar (Kandivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,30,Mahavir Nagar Extension Or Parijat Society (Kandivali) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,31,Panchsheel Apartment (Borivali West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,32,Kamal Vihar Sports Complex (Kandivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,33,Goverdhan Nagar Borsapada (Kandivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,34,Poisar Depot (Kandivali West) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,35,Shastri Nagar (Borivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,36,Sai Baba Mandir Samata Nagar (Kandivali East) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,37,Thakur College (Kandivali East) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,38,Kora Kendra (Borivali West) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,39,Aangan (Kandivali East) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,40,Viceroy Udyan (Kandivali East) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,41,Dattani Park (Kandivali East) #4
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,42,Thakur Cinema (Kandivali East) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,43,Shree Koteshwari Mandir (Kandivali East) #1
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,44,Magathane Telecom Exchange (Kandivali East) #2
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,45,Rajendra Nagar (Borivali) #3
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,46,Datta Pada
223 - Seven Bungalows Bus Depot to Samata Nagar Bus Station Kandivali East,47,Magathane Depot (Borivali) #3
231 - Juhu Bus Station to Santacruz Railway Station West,1,Juhu Bus Station #1
231 - Juhu Bus Station to Santacruz Railway Station West,2,Juhu Hotel #2
231 - Juhu Bus Station to Santacruz Railway Station West,3,Parsi Colony Juhu #1
231 - Juhu Bus Station to Santacruz Railway Station West,4,Juhu Beach #2
231 - Juhu Bus Station to Santacruz Railway Station West,5,Royal Hotel (Juhu) #1
231 - Juhu Bus Station to Santacruz Railway Station West,6,Juhu Tara #1
231 - Juhu Bus Station to Santacruz Railway Station West,7,Juhu Koliwada #1
231 - Juhu Bus Station to Santacruz Railway Station West,8,S N D T College Juhu (Santacruz West) #2
231 - Juhu Bus Station to Santacruz Railway Station West,9,Balkanji Bari School (Santacruz West) #2
231 - Juhu Bus Station to Santacruz Railway Station West,10,Santacruz Police Station (Santacruz West) #1
231 - Juhu Bus Station to Santacruz Railway Station West,11,Santacruz Station Road (Santacruz West) #2
231 - Santacruz Railway Station West to Juhu Bus Station,1,Santacruz Railway Station West
231 - Santacruz Railway Station West to Juhu Bus Station,2,Santacruz Station Road Or Kashibai Hospital (Santacruz West) #2
231 - Santacruz Railway Station West to Juhu Bus Station,3,Santacruz Police Station (Santacruz West) #3
231 - Santacruz Railway Station West to Juhu Bus Station,4,Balkanji Bari School (Santacruz West) #1
231 - Santacruz Railway Station West to Juhu Bus Station,5,S N D T College Juhu (Santacruz West) #1
231 - Santacruz Railway Station West to Juhu Bus Station,6,Juhu Koliwada #2
231 - Santacruz Railway Station West to Juhu Bus Station,7,Manekji Cooper School
231 - Santacruz Railway Station West to Juhu Bus Station,8,Juhu Tara #2
231 - Santacruz Railway Station West to Juhu Bus Station,9,Royal Hotel (Juhu) #2
231 - Santacruz Railway Station West to Juhu Bus Station,10,Juhu Beach #3
231 - Santacruz Railway Station West to Juhu Bus Station,11,Parsi Colony Juhu #2
231 - Santacruz Railway Station West to Juhu Bus Station,12,Juhu Hotel #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,1,Kandivali Railway Station West (Kandivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,2,Dr Ambedkar Hospital Or Parekh Nagar (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,3,Kandivali Telephone Exchange (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,4,Poisar Depot (Kandivali West) #4
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,5,Goverdhan Nagar Borsapada (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,6,Netaji Subhashchandra Bose Kridangan (Borivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,7,Kamal Vihar Sports Complex (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,8,Panchsheel Apartment (Borivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,9,Mahavir Nagar Extension Or Parijat Society (Kandivali) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,10,Mahavir Nagar Extension Or Bharat Petrol Pump (Kandivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,11,Rashmi Rathi Society (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,12,Ganesh Chowk (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,13,Bhavishya Nidhi Bhavan (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,14,Prabodhankar Thakre Nagar Market (Kandivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,15,Charkop Sector No 5 (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,16,Charkop Sector No 2 (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,17,Ganesh Mandir (Kandivali West) #2
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,18,Sai Chitra Society (Kandivali West) #1
239 - Kandivali Railway Station West to Charkop Sector 9 Or Akshara Vidyalaya,19,Charkop Ekdant Society (Kandivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,1,Charkop Sector 9 Or Akshara Vidyalaya (Kandivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,2,Charkop Ekdant Society (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,3,Sai Chitra Society (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,4,Ganesh Mandir (Kandivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,5,Charkop Sector No 2 (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,6,Charkop Sector No 5 (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,7,Prabodhankar Thakre Nagar Market (Kandivali West) #4
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,8,Bhavishya Nidhi Bhavan (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,9,Ganesh Chowk (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,10,Rashmi Rathi Society (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,11,Mahavir Nagar Extension Or Bharat Petrol Pump (Kandivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,12,Mahavir Nagar Extension Or Parijat Society (Kandivali) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,13,Panchsheel Apartment (Borivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,14,Kamal Vihar Sports Complex (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,15,Netaji Subhashchandra Bose Kridangan (Borivali West) #1
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,16,Goverdhan Nagar Borsapada (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,17,Poisar Depot (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,18,Kandivali Telephone Exchange (Kandivali West) #2
239 - Charkop Sector 9 Or Akshara Vidyalaya to Kandivali Railway Station West,19,Dr Ambedkar Hospital Or Parekh Nagar (Kandivali West) #2
242 - Andheri Bus Station West to Andheri Bus Station West,1,Raj Kumar (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,2,Lokhandwala Complex Junction (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,3,Shantivan Road Junction Oshiwara (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,4,Kamlakar Walawalkar Udyan
242 - Andheri Bus Station West to Andheri Bus Station West,5,Azad Nagar (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,6,Navrang Talkies (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,7,Andheri Market (Andheri West) #2
242 - Andheri Bus Station West to Andheri Bus Station West,8,Highland Garden (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,9,Laxmi Industrial Estate (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,10,Andheri Bus Station West (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,11,Indian Oil Nagar (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,12,Amboli Naka (Andheri West) #3
242 - Andheri Bus Station West to Andheri Bus Station West,13,Jeevan Nagar (Andheri West) #2
242 - Andheri Bus Station West to Andheri Bus Station West,14,Andheri Market (Andheri West) #3
242 - Andheri Bus Station West to Andheri Bus Station West,15,Shahajiraje Sports Complex (Andheri West) #2
242 - Andheri Bus Station West to Andheri Bus Station West,16,Aai Tulja Bhavani Chowk (Andheri West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,17,Filmalaya (Jogeshwari West) #1
242 - Andheri Bus Station West to Andheri Bus Station West,18,Laxmi Industrial Estate (Andheri West) #2
