bus_number,stop_sequence,stop_name
11 - Navy Nagar Colaba to Bandra Colony Bus Station,36,Mahim Phatak (Dharavi) #2
11 - Navy Nagar Colaba to Bandra Colony Bus Station,37,Dharavi Flyover Or Mahim Phatak (Sheshwadi) #1
11 - Navy Nagar Colaba to Bandra Colony Bus Station,38,Kala Nagar (Bandra East) #1
11 - Navy Nagar Colaba to Bandra Colony Bus Station,39,M I G Colony Kala Nagar (Bandra East) #2
11 - Navy Nagar Colaba to Bandra Colony Bus Station,40,Gandhi Nagar (Bandra East)
11 - Navy Nagar Colaba to Bandra Colony Bus Station,41,Chetana College
11 - Navy Nagar Colaba to Bandra Colony Bus Station,42,RNA Complex
11 - Bandra Colony Bus Station to Navy Nagar Colaba,1,Bandra Colony Bus Station
11 - Bandra Colony Bus Station to Navy Nagar Colaba,2,Gandhi Nagar Chetana College (Bandra East)
11 - Bandra Colony Bus Station to Navy Nagar Colaba,3,M I G Colony Kala Nagar (Bandra East) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,4,Kala Nagar (Bandra East) #4
11 - Bandra Colony Bus Station to Navy Nagar Colaba,5,Dharavi Flyover Or Mahim Phatak (Sheshwadi) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,6,Mahim Phatak (Dharavi) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,7,Shahu Nagar (Dharavi) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,8,Matunga Labour Camp (Dharavi) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,9,Kumbharwada (Dharavi) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,10,Lokmanya Tilak Hospital (Sion) #4
11 - Bandra Colony Bus Station to Navy Nagar Colaba,11,Gandhi Market (Sion) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,12,Maheshwari Udyan (Matunga East) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,13,Jagatdeo Narayan Verma Chowk or Kapol Niwas (Matunga East) #3
11 - Bandra Colony Bus Station to Navy Nagar Colaba,14,Khodadad Circle (Dadar) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,15,Shindewadi (Dadar) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,16,Hindmata Cinema (Dadar East) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,17,Madkebuwa Chowk (Parel) #3
11 - Bandra Colony Bus Station to Navy Nagar Colaba,18,Sant Jagnade Chowk (Parel) #3
11 - Bandra Colony Bus Station to Navy Nagar Colaba,19,Jaihind Cinema (Byculla) #5
11 - Bandra Colony Bus Station to Navy Nagar Colaba,20,Byculla Station East (Chinchpokli) #3
11 - Bandra Colony Bus Station to Navy Nagar Colaba,21,AH Ansari Chowk (Madanpura) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,22,AH Ansari Chowk Or New Nagpada (Madanpura) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,23,Dr M Iqbal Chowk Or J J Hospital (Nagpada) #3
11 - Bandra Colony Bus Station to Navy Nagar Colaba,24,Johar Chowk Or Bhendi Bazar (Kumbharwada) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,25,Zakeria Masjid (Kalbadevi) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,26,Chakala Market (Kalbadevi) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,27,Mahatma Phule Market (Fort) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,28,Chhatrapati Shivaji Maharaj Terminus (Fort) #8
11 - Bandra Colony Bus Station to Navy Nagar Colaba,29,Chhatrapati Shivaji Maharaj Terminus GPO (Fort) #2
11 - Bandra Colony Bus Station to Navy Nagar Colaba,30,Swami Dayanand Saraswati Chowk (Fort) #1
11 - Bandra Colony Bus Station to Navy Nagar Colaba,31,Reserve Bank of India (Fort) #1
